CustomerID,Customer Name,predicted_clv
29641,Raul Casts,29875034.96610223
29913,Anton Kirilov,25233181.17063868
29712,Holly Dickson,24140992.81718837
30048,Marcia Sultan,24115672.279306296
29722,Reuben D'sa,22035593.58085675
29957,Kevin Liu,21817766.559216168
30103,Mandy Vance,21248649.681478243
29701,Kirk DeGrasse,21027993.812363017
29616,Barbara Calone,20098940.826615404
29614,Ryan Calafato,19804328.956644706
29923,Edward Kozlowski,19676618.207263723
30117,Robert Vessa,19416862.700703554
29995,Stacie Mcanich,18690580.17041937
29639,Joseph Castellucio,18672084.293320924
29997,Lola McCarthy,18567267.25160935
29736,Terry Eminhizer,17359552.054445293
29715,Andrew Dixon,17072580.37922309
29924,Mitch Kennedy,16558230.085056223
30050,Krishna Sunkammurali,16532376.47971601
29559,Robert Bernacchi,16376840.815933045
29716,Blaine Dockter,16372327.39994504
29744,John Evans,15907367.627091484
29916,Reed Koch,15587725.029887298
29796,Jon Grande,15020714.908326477
29594,Dave Browning,14882418.383575508
29818,Roger Harui,14882388.493185591
29546,Christopher Beck,14698890.465568816
29617,Lindsey Camacho,14564452.080875952
29693,Ryan Danner,14487009.381967032
29998,Jane McCarty,14338408.203329626
29770,Kathleen Garza,14284865.76448851
30107,Margaret Vanderkamp,13942241.41095729
29994,Robin McGuigan,13836188.671816394
29646,Stacey Cereghino,13547504.644460637
30074,Yuping Tian,13448908.1143318
30046,Elizabeth Sullivan,13205315.118952075
29488,Pilar Ackerman,13109818.96251
29689,Scott Culp,13063239.704732511
29580,Richard Bready,13025052.472208852
30112,Patricia Vasquez,12828842.554967402
29940,Robertson Lee,12808838.104074193
29966,Richard Lum,12747707.571514715
29629,Carlton Carlisle,12587835.740582183
29827,Valerie Hendricks,12328940.544156171
29523,John Arthur,11957262.398520092
29772,Janet Gates,11724801.542996032
29550,Stanley Alan,11279664.265937945
29703,Stefan Delmarco,11208660.709878957
29707,Helen Dennis,11127694.486081418
29587,John Brooks,10919997.842079729
29497,François Ferrier,10908934.694230152
29987,Frank Mart¡nez,10611020.576756937
30109,Nieves Vargas,10595252.564416409
29929,Jeffrey Kurtz,10522144.85172515
29996,Katie McAskill-White,10425933.182534099
29486,Kim Abercrombie,10425148.90285328
30000,James McCoy,10080058.437091544
29704,Shawn Demicell,10067006.536918348
29643,Matthew Cavallari,9920876.494410463
29705,Della Demott Jr,9899086.592029706
30070,Kendra Thompson,9764785.193614453
29919,Eugene Kogan,9667961.9188846
29615,Mari Caldwell,9628185.091721676
29917,Jim Kennedy,9483369.445983762
29950,Yale Li,9404313.45406937
29793,Michael Graff,9362253.526477171
29563,Chris Bidelman,9328313.576395905
29843,Matthew Hink,9256333.334130967
29992,Sandra Maynard,9242417.20791389
29692,Thierry D'Hers,9189720.522855207
29562,Steven Brown,9178658.689549573
29557,Alexander Berger,9173181.000831012
29564,Mary Billstrom,9145584.630603852
29941,Jolie Lenehan,9111318.43519935
29904,Mary Kesslep,9088729.390726175
29895,Lori Kane,9034503.32996969
29786,James Glynn,8960424.291540995
29658,Mike Choi,8870440.369143138
29725,Tish Duff,8847858.181920677
29522,Thomas Armstrong,8826847.49717135
29625,Suzana De Abreu Canuto,8789202.622491987
29637,Donna Carreras,8696248.35565819
29489,Frances Adams,8542972.898723332
29783,Mary Gimmi,8531897.867533617
29844,Nancy Hirota,8444773.469432088
29589,Carolee Brown,8425215.944129487
29647,Baris Cetinok,8153466.907436207
29734,Jauna Elson,8023682.361795573
29702,Aidan Delaney,7922398.197141501
29932,Rebecca Laszlo,7885593.535039143
29853,Juanita Holman,7863698.992893488
30043,Min Su,7841968.911362192
29507,Phyllis Allen,7840133.439787576
30118,Caroline Vicknair,7797156.55808478
30071,Daniel Thompson,7756881.900394326
29608,Timothy Burnett,7595347.913743876
29825,James Hendergart,7580602.148671441
29618,Gustavo Camargo,7570848.440942795
29885,David Johnson,7562595.299060968
29836,Sidney Higa,7478296.565715166
29609,Stephen Burton,7446574.421759343
29910,Shane Kim,7405086.394662321
29956,Jinghao Liu,7384619.159820043
29579,Cornelius Brandon,7308794.905472786
30083,Glenn Track,7209767.809438818
30075,Mike Tiano,7139799.808721207
29651,Lee Chapla,7119894.043507658
29889,Jean Jordan,7111353.1423744485
30049,Nate Sun,7091216.265033338
29714,Rudolph Dillon,7073219.188876034
29792,Abigail Gonzalez,7020972.574287446
29551,Mason Bendixen,6972113.175718348
29954,Paulo Lisboa,6917087.9918704955
29909,Jim Kim,6912406.9462501835
29891,Diane Krane,6801458.57507718
29732,Carol Elliott,6792871.135531818
30094,Sairaj Uddin,6743866.973965221
30055,Julie Taft-Rider,6742236.242843834
29888,Brannon Jones,6517693.860212388
30082,Anna Townsend,6499559.457286315
29509,Michael Allen,6411017.5048625395
30116,Wanda Vernon,6272616.970903086
29552,John Bennetts,6193015.565916958
29724,Bernard Duerr,6192996.422133553
29601,Dirk Bruno,6182654.143835948
29624,Joseph Cantoni,6105116.6855839165
29861,Phyllis Huntsman,6049718.766236924
29560,Matthias Berndt,5839257.098426595
29896,Judith Krane,5827153.176650109
29907,Karan Khanna,5815197.350172817
29821,Neal Hasty,5755057.677659514
29543,Karel Bates,5744191.187355954
29485,Catherine Abel,5734252.6925793765
29492,Jay Adams,5730686.80866289
29921,Joy Koski,5527973.64698292
30065,Karen Theisen,5404229.500975916
29911,Tim Kim,5391859.564771698
29938,Frank Campbell,5339218.542824235
30045,Ruth Suffin,5325322.913942064
30101,Johnathan Van Eaton,5282796.233889392
29627,Johnny Caprio,5264753.366970324
29817,Doris Hartwig,5203938.478927411
30113,Raja Venugopal,5098436.2903424995
29513,Selena Alvarado,5046681.577089916
29947,Judy Lew,4957737.088522486
29834,Cheryl Herring,4914752.227409582
29499,Amy Alberts,4907187.81841608
29953,Joseph Lique,4898475.491035469
29823,Jeff Hay,4830911.262205236
29695,Megan Davis,4821343.960262487
29935,Elsa Leavitt,4800574.707218292
29955,David Liu,4765644.123634676
30092,Gracia Tuell,4763302.156755557
29690,Conor Cunningham,4716378.28002202
29720,Gerald Drury,4696327.897803124
29822,James Haugh,4691581.546441845
29628,Richard Carey,4575140.91373823
30097,Rachel Valdez,4546911.106503007
30067,Phyllis Thomas,4469812.803195614
30076,Diane Tibbott,4468923.064733798
29605,Megan Burke,4336628.84777698
30093,Phyllis Tuffield,4316695.275903547
30044,Gary Suess,4287809.161827785
29660,Anthony Chor,4233069.893722321
29841,Reinout Hillmann,4232813.576353807
29922,Pamala Kotc,4189770.5869546705
29918,Kirk King,4155142.7462006146
29534,Jennifer Bales,4137517.4701601076
29901,John Kelly,4032510.7467149016
29738,Gail Erickson,4029801.3990763235
29524,Chris Ashton,3919206.848401883
29931,Eric Lang,3886194.8107852065
29595,Bridget Browqett,3864586.2221032856
29525,Teresa Atkinson,3862712.4942834987
30059,Denis Taylor,3835117.9040441713
29727,Bart Duncan,3792154.598061913
29699,Alexander Deborde,3762146.0733339363
29899,Kendall Keil,3706926.2892558374
29561,John Berry,3672833.329811176
29698,Jacob Dean,3632610.3188072233
29964,Anita Lucerne,3603997.7120656157
30051,Brad Sutton,3536329.6252496433
30063,Vanessa Tench,3510672.5435970374
29937,Marjorie Lee,3473946.73267549
29915,Andrew Kobylinski,3458243.0950584724
29776,Barbara German,3443357.548148768
29749,Hanying Feng,3332456.895236135
29737,John Emory,3287063.7639318304
29942,Roger Lengel,3234233.3313493403
29500,Anna Albright,3156197.410085931
29820,Mark Hassall,3152257.7876421167
29968,Helen Lutes,3127991.2950901957
29549,Shane Belli,3121255.1444062456
30087,Billy Trent,3108075.0660531083
29645,Andrew Cencini,3087002.4451105455
29967,Judy Lundahl,3065693.5287253777
29528,Stephen Ayers,3040650.1894409773
30073,Rossane Thoreson,3001489.2189428145
29496,Robert Ahlering,2983665.511580795
29649,Pat Chambers,2982506.057843397
29622,Henry Campen,2962679.3125097402
30095,Sunil Uppal,2939496.8486960405
29706,Bruno Deniut,2935089.829223891
29894,John Kane,2854960.1363277556
29789,Brian Goldstein,2848111.169115496
29928,Vamsi Kuppa,2836346.8450640165
29484,Gustavo Achong,2804981.6528085433
30108,Kara Vanderlinden,2795228.1739233253
29951,Yan Li,2717497.9730375935
29510,Cecil Allison,2660581.5007420694
30111,Ranjit Varkey Chudukatil,2565796.5876278994
29795,Lowell Graham,2549732.4633110175
29710,Brenda Diaz,2392565.059863199
29842,Mike Hines,2175369.4644902013
30105,Gregory Vanderbout,2067449.0825115296
29963,Spencer Low,1929837.006822463
29774,Darren Gehring,1906432.240131775
30100,Jessie Valerio,1900265.655310535
29515,Maxwell Amland,1895187.9031070617
29582,Ted Bremer,1850444.384696186
30060,Jeff Teper,1810795.7760973885
30090,Christie Trujillo,1807415.869681339
29828,Jay Henningsen,1762744.9917239833
29742,Twanna Evans,1725095.127795776
30005,Nancy McPhearson,1702767.7475604
29739,Mark Erickson,1673816.2541148292
30096,Mary Vaca,1648627.6970082808
29746,Fadi Fakhouri,1627606.4436320295
29925,Margaret Krupka,1506170.4640949431
29504,J. Phillip Alexander,1501284.135362649
29773,Orlando Gee,1480174.923529609
30014,Gary Meyerhoff,1475769.4714435749
29906,Imtiaz Khan,1403671.852695668
29946,Linda Leste,1320475.8018519003
29912,Russell King,1303286.81366476
29883,Barry Johnson,1234582.2294067251
29898,Sandeep Katyal,1226068.950989891
29824,Brenda Heaney,1202787.8427127344
30015,Ramesh Meyyappan,1154746.843660272
29892,Sandra Kitt,1138064.9517353845
29880,Samuel Johnson,1129189.3956058293
29521,Tom Johnston,1124886.872641895
29666,Jane Clayton,1108442.4729744508
29972,Jenny Lysaker,1096716.5820426168
30106,Michael Vanderhyde,1080676.4785153952
29581,Sara Breer,1074216.2381725865
30009,Tosh Meston,995729.9493011143
29708,Prashanth Desai,995670.7228580511
29696,Alvaro De Matos Miranda Filho,995023.0485045757
30091,Lynn Tsoflias,992780.4177742946
29787,Scott Gode,984932.3964305302
29511,Oscar Alpuerto,978770.1250153059
29846,Douglas Hite,945497.2032127627
29538,Brenda Barlow,944019.8263425144
29718,John Donovan,924369.3744679678
29592,Kevin Browne,917152.7211737261
29877,Joyce Jarvis,914936.6369023938
29748,Geri Farrell,895495.4537482216
29811,Mark Hanson,891391.9175165545
29653,Pei Chow,886644.321940828
29945,Gloria Lesko,868390.1654481153
30056,Clarence Tatman,838510.1389790807
29794,Derek Graham,826775.4757785466
29661,Charles Christensen,782700.8502830152
29958,Run Liu,757388.7939209951
29769,Jon Ganio,736032.857591017
29791,Linda Gonzales,718742.5787906514
29740,Martha Espinoza,704123.6363121945
29671,Pat Coleman,700607.9426617366
30088,David Trolen,683636.0089318668
29784,Jeanie Glenn,680448.076895878
29815,Lucy Harrington,659196.185861792
29779,Cornett Gibbens,631765.7391265675
29533,Douglas Baldwin,613199.5820228724
29981,Kathy Marcovecchio,609456.8306009263
30020,Emilo Miller,596029.5854325092
29805,Erin Hagens,583591.4155075467
29809,Kerim Hanif,551127.4108749819
29684,Marlin Coriell,539628.0533843315
29642,Elizabeth Catalano,538286.9701268052
29974,Scott MacDonald,534337.1648270624
29810,Jean Handley,533793.0912517717
30011,Eric Meyer,518847.4178972941
29577,Lester Bowman,512250.42206471
29799,Douglas Groncki,483895.68521002086
29685,Pamela Cox,470502.1661115739
30039,Robert Stotka,469630.19663043483
29961,John Long,469167.67513664346
29526,John Ault,467056.17128381843
29491,Carla Adams,459883.4039115875
30004,Nkenge McLin,454090.54521838494
